
2025/02/19 (15:11:34) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme
2025/02/19 (15:11:38) | INFO: Quitting! Runtime: 00:00:06

2025/02/19 (15:12:39) | ===> btop++ v.1.4.0
2025/02/19 (15:12:39) | INFO: Logger set to DEBUG
2025/02/19 (15:12:39) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (15:12:39) | INFO: Running on /dev/pts/0
2025/02/19 (15:12:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (15:12:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (15:12:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (15:12:41) | DEBUG: Shared::init() : Initialized.
2025/02/19 (15:12:41) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (15:16:15) | ===> btop++ v.1.4.0
2025/02/19 (15:16:15) | INFO: Logger set to DEBUG
2025/02/19 (15:16:15) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (15:16:15) | INFO: Running on /dev/pts/0
2025/02/19 (15:16:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (15:16:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (15:16:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (15:16:17) | DEBUG: Shared::init() : Initialized.
2025/02/19 (15:16:17) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (15:16:39) | ===> btop++ v.1.4.0
2025/02/19 (15:16:39) | INFO: Logger set to DEBUG
2025/02/19 (15:16:39) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (15:16:39) | INFO: Running on /dev/pts/0
2025/02/19 (15:16:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (15:16:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (15:16:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (15:16:41) | DEBUG: Shared::init() : Initialized.
2025/02/19 (15:16:41) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (22:40:40) | ===> btop++ v.1.4.0
2025/02/19 (22:40:40) | INFO: Logger set to DEBUG
2025/02/19 (22:40:40) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (22:40:40) | INFO: Running on /dev/pts/0
2025/02/19 (17:10:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (17:10:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (17:10:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (17:10:43) | DEBUG: Shared::init() : Initialized.
2025/02/19 (17:10:43) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (17:11:36) | ===> btop++ v.1.4.0
2025/02/19 (17:11:36) | INFO: Logger set to DEBUG
2025/02/19 (17:11:36) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (17:11:36) | INFO: Running on /dev/pts/0
2025/02/19 (17:11:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (17:11:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (17:11:36) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (17:11:36) | DEBUG: Shared::init() : Initialized.
2025/02/19 (17:11:36) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (17:14:04) | ===> btop++ v.1.4.0
2025/02/19 (17:14:04) | INFO: Logger set to DEBUG
2025/02/19 (17:14:04) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (17:14:04) | INFO: Running on /dev/pts/0
2025/02/19 (17:14:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (17:14:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (17:14:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (17:14:06) | DEBUG: Shared::init() : Initialized.
2025/02/19 (17:14:06) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (17:59:56) | ===> btop++ v.1.4.0
2025/02/19 (17:59:56) | INFO: Logger set to DEBUG
2025/02/19 (17:59:56) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (17:59:56) | INFO: Running on /dev/pts/0
2025/02/19 (17:59:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (17:59:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (17:59:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (17:59:56) | DEBUG: Shared::init() : Initialized.
2025/02/19 (17:59:56) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (18:01:52) | ===> btop++ v.1.4.0
2025/02/19 (18:01:52) | INFO: Logger set to DEBUG
2025/02/19 (18:01:52) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (18:01:52) | INFO: Running on /dev/pts/0
2025/02/19 (18:01:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (18:01:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (18:01:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (18:01:52) | DEBUG: Shared::init() : Initialized.
2025/02/19 (18:01:52) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (18:31:25) | ===> btop++ v.1.4.0
2025/02/19 (18:31:25) | INFO: Logger set to DEBUG
2025/02/19 (18:31:25) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (18:31:25) | INFO: Running on /dev/pts/1
2025/02/19 (18:31:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (18:31:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (18:31:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (18:31:25) | DEBUG: Shared::init() : Initialized.
2025/02/19 (18:31:25) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (20:35:19) | ===> btop++ v.1.4.0
2025/02/19 (20:35:19) | INFO: Logger set to DEBUG
2025/02/19 (20:35:19) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (20:35:19) | INFO: Running on /dev/pts/1
2025/02/19 (20:35:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (20:35:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (20:35:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (20:35:21) | DEBUG: Shared::init() : Initialized.
2025/02/19 (20:35:21) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme
2025/02/19 (20:35:31) | INFO: Quitting! Runtime: 00:00:12

2025/02/19 (20:47:03) | ===> btop++ v.1.4.0
2025/02/19 (20:47:03) | INFO: Logger set to DEBUG
2025/02/19 (20:47:03) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (20:47:03) | INFO: Running on /dev/pts/1
2025/02/19 (20:47:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (20:47:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (20:47:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (20:47:06) | DEBUG: Shared::init() : Initialized.
2025/02/19 (20:47:06) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (20:58:55) | ===> btop++ v.1.4.0
2025/02/19 (20:58:55) | INFO: Logger set to DEBUG
2025/02/19 (20:58:55) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (20:58:55) | INFO: Running on /dev/pts/0
2025/02/19 (20:58:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (20:58:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (20:58:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (20:58:55) | DEBUG: Shared::init() : Initialized.
2025/02/19 (20:58:55) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (20:59:55) | ===> btop++ v.1.4.0
2025/02/19 (20:59:55) | INFO: Logger set to DEBUG
2025/02/19 (20:59:55) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (20:59:55) | INFO: Running on /dev/pts/0
2025/02/19 (20:59:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (20:59:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (20:59:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (20:59:55) | DEBUG: Shared::init() : Initialized.
2025/02/19 (20:59:55) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (21:29:06) | ===> btop++ v.1.4.0
2025/02/19 (21:29:06) | INFO: Logger set to DEBUG
2025/02/19 (21:29:06) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (21:29:06) | INFO: Running on /dev/pts/0
2025/02/19 (21:29:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (21:29:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (21:29:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (21:29:06) | DEBUG: Shared::init() : Initialized.
2025/02/19 (21:29:06) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (23:00:52) | ===> btop++ v.1.4.0
2025/02/19 (23:00:52) | INFO: Logger set to DEBUG
2025/02/19 (23:00:52) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (23:00:52) | INFO: Running on /dev/pts/3
